,open,close,high,low,volume,money
2010/9/13,2933.59,2962.32,2977.08,2925.42,6727990000,87536178972
2010/9/14,2971.55,2965.01,2984.47,2954.51,7010590300,87204421695
2010/9/15,2965.54,2913.19,2965.54,2905.63,7161964200,86445964329
2010/9/16,2908.32,2857.79,2917.85,2834.03,7407428400,84198375910
2010/9/17,2864.72,2861.37,2877.08,2847.68,5193886700,62466326737
2010/9/20,2865.04,2849.83,2872.22,2829.76,5028310400,57582985440
2010/9/21,2859.43,2857.48,2869.38,2844.13,3575188100,44742025248
2010/9/27,2869.93,2905.03,2905.53,2864.21,4907182300,62611534184
2010/9/28,2900.54,2880.91,2900.54,2875.66,5866082600,80859749613
2010/9/29,2877.27,2874.81,2908.73,2866.85,5678223600,74516021987
2010/9/30,2859.06,2935.57,2935.59,2857.42,6300024700,80709727516
2010/10/8,2965.65,3044.23,3055.84,2963.24,9999472000,1.34987E+11
2010/10/11,3069.19,3132.89,3154.2,3069.19,15873490400,2.12607E+11
2010/10/12,3121.64,3172.73,3173.85,3106.22,12736170500,1.78245E+11
2010/10/13,3176.89,3217.58,3221.65,3165.58,14460777300,1.95445E+11
2010/10/14,3245.13,3224.14,3286.02,3215.03,17961183800,2.27654E+11
2010/10/15,3204.72,3327.68,3327.68,3199.12,19341414000,2.45619E+11
2010/10/18,3345.8,3306.16,3390.01,3288.78,21788205100,2.67884E+11
2010/10/19,3300.52,3375.67,3375.87,3280,13044179100,1.65489E+11
2010/10/20,3304.22,3396.88,3439.22,3301.01,16652846000,2.35372E+11
2010/10/21,3404.72,3374.68,3418.09,3344.96,12388324500,1.75384E+11
2010/10/22,3365.6,3378.66,3408.49,3346.11,11636185700,1.63154E+11
2010/10/25,3386.85,3481.08,3481.35,3366.43,14543310500,2.08809E+11
2010/10/26,3491.47,3466.08,3499.82,3436.46,14263699900,2.05216E+11
2010/10/27,3451.43,3403.87,3490.22,3398.09,12376157000,1.77073E+11
2010/10/28,3390.43,3397.69,3420.89,3371.44,9834945600,1.41136E+11
2010/10/29,3400.26,3379.98,3404.6,3351.6,10045897000,1.45528E+11
2010/11/1,3390.41,3472.99,3472.99,3390.41,12626914800,1.86726E+11
2010/11/2,3484.23,3463.13,3522.18,3449.72,15491145000,2.33976E+11
2010/11/3,3462.74,3420.34,3474.71,3419.08,12635930300,1.78803E+11
2010/11/4,3426.46,3480.51,3480.93,3419.64,11679948100,1.64721E+11
2010/11/5,3538.99,3520.8,3554.47,3498.28,13768802700,1.96618E+11
2010/11/8,3534.19,3548.57,3549.3,3506.38,12647075900,1.74068E+11
2010/11/9,3547.44,3523.95,3547.44,3498.62,12245453300,1.70175E+11
2010/11/10,3507.2,3499.11,3508.28,3470.97,12007857800,1.7653E+11
2010/11/11,3490.74,3509.97,3557.99,3484.89,13897623300,2.09122E+11
2010/11/12,3484.61,3291.83,3497.06,3284.35,16073385000,2.24201E+11
2010/11/15,3298.74,3314.89,3319.98,3241.76,10231572400,1.44493E+11
2010/11/16,3311.62,3169.54,3311.62,3155.47,10830707200,1.54278E+11
2010/11/17,3124.11,3103.91,3168.93,3087.51,8325808000,1.18981E+11
2010/11/18,3134.94,3147.96,3158.63,3097.39,6569729200,94476115838
2010/11/19,3168.16,3178.85,3178.85,3076.21,8334765400,1.14673E+11
2010/11/22,3148.22,3171.94,3200.47,3137.75,8321277600,1.14303E+11
